"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\App.scss", "SCSS", 0, 0, 8, 0, 1, 9
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\App.tsx", "TypeScript JSX", 61, 0, 0, 3, 7, 71
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\Provider\AuthProvider.tsx", "TypeScript JSX", 32, 0, 0, 0, 7, 39
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\Provider\DataProvider.tsx", "TypeScript JSX", 10, 0, 0, 0, 4, 14
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\components\Authentication\SignInComponent.tsx", "TypeScript JSX", 32, 0, 0, 0, 7, 39
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\components\Authentication\SignUpComponent.tsx", "TypeScript JSX", 32, 0, 0, 0, 4, 36
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\components\Authentication\login.scss", "SCSS", 0, 0, 3, 0, 1, 4
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\components\Navbar.tsx", "TypeScript JSX", 28, 0, 0, 0, 6, 34
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\components\Tab.tsx", "TypeScript JSX", 16, 0, 0, 0, 3, 19
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\constants.scss", "SCSS", 0, 0, 4, 0, 0, 4
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\constants.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\index.scss", "SCSS", 0, 0, 12, 0, 4, 16
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\index.tsx", "TypeScript JSX", 15, 0, 0, 0, 6, 21
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\types\Tab.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\utils\ProtectedRoutes.tsx", "TypeScript JSX", 8, 0, 0, 0, 3, 11
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\utils\generateHash.ts", "TypeScript", 0, 10, 0, 0, 0, 10
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\views\AuthenticationView.tsx", "TypeScript JSX", 20, 0, 0, 0, 10, 30
"c:\Users\Daniel\Desktop\Coding\todofrontend\src\views\BoardView.tsx", "TypeScript JSX", 15, 0, 0, 0, 4, 19
"Total", "-", 269, 21, 27, 4, 69, 390
